,,Initial (AGL),Initial,Final (AGL),Final,Conjunct (AGL),Conjunct,Initial Unicode,Halant Unicode,Final Unicode,,Name (AGL),Name,Prod. Name,Notes,GlyphData.xml,
gujarati,uni,K,k,Ka,ka,KKa,k_ka,0A95,0ACD,0A95,0A950ACD0A95,gjKKa,k_ka-gujarati,uni0A950ACD0A95,Composite,"<glyph name=""k_ka-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0A95"" altnames=""gjKKa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />","<glyph name="""
gujarati,uni,K,k,KHa,kha,KKHa,k_kha,0A95,0ACD,0A96,0A950ACD0A96,gjKKHa,k_kha-gujarati,uni0A950ACD0A96,Half form,,""" category=""Letter"" script=""gujarati"" production="""
gujarati,uni,K,k,Ga,ga,KGa,k_ga,0A95,0ACD,0A97,0A950ACD0A97,gjKGa,k_ga-gujarati,uni0A950ACD0A97,/,,""" altnames="""
gujarati,uni,K,k,GHa,gha,KGHa,k_gha,0A95,0ACD,0A98,0A950ACD0A98,gjKGHa,k_gha-gujarati,uni0A950ACD0A98,/,,""" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />"
gujarati,uni,K,k,NGa,nga,KNGa,k_nga,0A95,0ACD,0A99,0A950ACD0A99,gjKNGa,k_nga-gujarati,uni0A950ACD0A99,/,,
gujarati,uni,K,k,Ca,ca,KCa,k_ca,0A95,0ACD,0A9A,0A950ACD0A9A,gjKCa,k_ca-gujarati,uni0A950ACD0A9A,Composite,"<glyph name=""k_ca-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0A9A"" altnames=""gjKCa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,CHa,cha,KCHa,k_cha,0A95,0ACD,0A9B,0A950ACD0A9B,gjKCHa,k_cha-gujarati,uni0A950ACD0A9B,/,,
gujarati,uni,K,k,Ja,ja,KJa,k_ja,0A95,0ACD,0A9C,0A950ACD0A9C,gjKJa,k_ja-gujarati,uni0A950ACD0A9C,Composite,"<glyph name=""k_ja-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0A9C"" altnames=""gjKJa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,JHa,jha,KJHa,k_jha,0A95,0ACD,0A9D,0A950ACD0A9D,gjKJHa,k_jha-gujarati,uni0A950ACD0A9D,Composite,"<glyph name=""k_jha-gujarati"" category=""Letter"" script=""gujarati"" production=""uni0A950ACD0A9D"" altnames=""gjKJHa"" anchors=""top, bottom, bottomleft"" accents=""nukta-gujarati, rakar-gujarati, uMatra-gujarati, uuMatra-gujarati, anusvara-gujarati, candraBindu-gujarati, rVocalicMatra-gujarati, rrVocalicMatra-gujarati, eMatra-gujarati, halant-gujarati, eCandraMatra-gujarati, aiMatra-gujarati, reph-gujarati, reph-gujarati"" />",
gujarati,uni,K,k,NYa,nya,KNYa,k_nya,0A95,0ACD,0A9E,0A950ACD0A9E,gjKNYa,k_nya-gujarati,uni0A950ACD0A9E,/,,
